Covered Vehicle,Vehicle ID (Ktype),Car Marker,Model,Version,From,To,Body Type,Drive Type,Litters,cc,Fuel type,kW,HP,Cylinders,Valves,Engine Type,Engine Code,Product Limitations,Carpark,# Products,Covered in Products
,805,RENAULT,TALISMAN (LP_),1.5 dCi 110 (LPA3),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 647",None,30,1,A: LuK RepSet DMF
,845,RENAULT,TALISMAN Grandtour (KP_),1.5 dCi 110,X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 647, K9K 648, K9K 649",None,30,1,A: LuK RepSet DMF
,885,RENAULT,CLIO IV (BH_) | CLIO MIO | LUTECIA,1.5 dCi 110,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,None,30,1,A: LuK RepSet DMF
,925,RENAULT,MEGANE IV Saloon (LVA/M/N),1.5 dCi 90 (LVA1),X,Y,Saloon | Grand Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,None,30,1,A: LuK RepSet DMF
,965,DACIA,DUSTER (HM_),1.5 dCi 110 (HMAB),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 656, K9K 667",None,30,1,A: LuK RepSet DMF
,1005,RENAULT,MEGANE III Hatchback Van (BZ_),"1.5 dCi (BZ0D, BZ1G, BZ1F, BZ1M, BZ1W, BZ0R, BZ10)",X,Y,Hatchback Van | Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 836, K9K 846",None,30,1,A: LuK RepSet DMF
,1045,RENAULT,MEGANE III Combi Van (KZ0/1),1.5 dCi,X,Y,Estate Van | Combi Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,30,1,A: LuK RepSet DMF
,1085,RENAULT,SCÉNIC III VAN (JZ0/1_),1.5 dCi (JZ02),X,Y,Box Body/MPV | VAN,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,30,1,A: LuK RepSet DMF
,1125,NISSAN,QASHQAI +2 (JJ10E) | DUALIS,1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 282, K9K 292",None,30,1,A: LuK RepSet DMF
,1165,DACIA,DOKKER Box Body/MPV,"1.5 dCi 75 / Blue dCi 75 (FEJW, FEAH)",X,Y,Box Body/MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,"K9K 612, K9K 626, K9K 872","1) TecDoc Engine Number : 37036, 2) Transmission Code : TL4",30,1,A: LuK RepSet DMF
,1205,DACIA,LODGY (JS_),"1.5 Blue dCi 95 (JSJL, JSN7)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,"K9K 872, K9K 876 (10.21-.)",1) Transmission Code : TL4,30,1,A: LuK RepSet DMF
,1245,MERCEDES-BENZ,CITAN MPV (W415),111 CDI (415.703),X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,OM 608.915 (K9K),None,30,1,A: LuK RepSet DMF
,1285,MERCEDES-BENZ,CITAN Box Body/MPV (W415),"109 CDI (415.603, 415.605)",X,Y,Box Body/MPV | Panel Van,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,OM 608.915 (K9K),None,30,1,A: LuK RepSet DMF
,1325,RENAULT,CLIO V (B7_),1.5 Blue dCi 115 (B7AD),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,"K9K 854, K9K 862, K9K 872",None,30,1,A: LuK RepSet DMF
,1365,NISSAN,NV250 Van (X61),dCi 115,X,Y,Van,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,K9K 872,None,30,1,A: LuK RepSet DMF
,1405,RENAULT,CAPTUR II (HF_),Blue dCi 95 (HFAF),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 872,None,30,1,A: LuK RepSet DMF
,1445,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 115 (FW17),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,85,116,4,2,Diesel,K9K 872,1) Transmission Code : TL4,30,1,A: LuK RepSet DMF
,1485,RENAULT,KANGOO III Box Body/MPV,1.5 Blue dCi 75 (FJAA),X,Y,Box Body/MPV | RAPID,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,K9K 876,1) Transmission Code : TL4,30,1,A: LuK RepSet DMF
,1525,MERCEDES-BENZ,CITAN Box Body/MPV (W420),1.5 108 CDI (420.613),X,Y,Box Body/MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,55,75,4,2,Diesel,OM 608.915 (K9K),None,30,1,A: LuK RepSet DMF
,1565,MERCEDES-BENZ,CITAN Tourer (W420),110 CDI (420.723),X,Y,MPV | Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,OM 608.915 (K9K),None,30,1,A: LuK RepSet DMF
,1605,RENAULT,EXPRESS Box Body/MPV,1.5 dCi 95 (F6AB),X,Y,Box Body/MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K672,None,30,1,A: LuK RepSet DMF
,1645,DACIA,"DUSTER (PYM_, PYN_)",1.5 dCi 115,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,85,115,4,2,Diesel,K9K 876,None,30,1,A: LuK RepSet DMF
,1685,NISSAN,CUBE (Z12),1.5 dCi,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K, K9K 270",None,30,1,B: DMF Module plus CSC
,1725,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ02, JZ0R)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Diesel,K9K 846,None,30,1,B: DMF Module plus CSC
,1765,NISSAN,NV200 / EVALIA Bus,"1.5 dCi 110 (M20, M20M)",X,Y,Bus,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646",None,30,1,B: DMF Module plus CSC
,1805,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW0C, KW0H)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,110,4,2,Diesel,"K9K 804, K9K 816","1) TecDoc Engine Number : 20831, 2) TecDoc Engine Number : 35716",30,1,B: DMF Module plus CSC
,1845,RENAULT,MEGANE II Estate (KM0/1_),"1.5 dCi (KM16, KM1E)",X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,None,30,1,B: DMF Module plus CSC
,1885,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 282, K9K 292",None,30,1,B: DMF Module plus CSC
,1925,RENAULT,MEGANE II Coupé-Cabriolet (EM0/1_),1.5 dCi (EM16),X,Y,Convertible | Coupé-Cabriolet,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,None,30,1,B: DMF Module plus CSC
,1965,RENAULT,CLIO III Grandtour (KR0/1_),"1.5 dCi (KR0H, KR1S)",X,Y,Estate | Grandtour | Sportour,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 774",None,30,1,B: DMF Module plus CSC
,2005,RENAULT,KANGOO Express (FW0/1_),1.5 dCi 105 (FW0F),X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,"1) Engine Code : K9K 804, 2) TecDoc Engine Number : 20832",30,1,B: DMF Module plus CSC
,2045,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 282, K9K 292",None,30,1,B: DMF Module plus CSC
,2085,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ0B, JZ07)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,None,30,1,B: DMF Module plus CSC
,2125,DACIA,DUSTER (HS_),1.5 dCi (HSMC),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 896, K9K 898","1) TecDoc Engine Number : 24784, 2) TecDoc Engine Number : 24785, 3) Transmission Code : TL4 043, 4) Transmission Code : TL8 000, 5) Transmission Type : 6-Speed Manual Transmission",30,1,B: DMF Module plus CSC
,2165,DACIA,LODGY (JS_),"1.5 dCi (JSMC, JSAF)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 846, K9K 856",None,30,1,B: DMF Module plus CSC
,2205,RENAULT,LATITUDE (L70_),"1.5 dCi (L70R, L731)",X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 782, K9K 849",None,30,1,B: DMF Module plus CSC
,2245,MERCEDES-BENZ,CITAN MPV (W415),"111 CDI (415.703, 415.705)",X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),None,30,1,B: DMF Module plus CSC
,2285,DACIA,DUSTER (HS_),1.5 dCi 4x4,X,Y,SUV,All-wheel Drive | 4x4,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 658, K9K 858, K9K 898","1) Engine Code : K9K 856, 2) Transmission Code : TL4, 3) Transmission Type : 6-Speed Manual Transmission",30,1,B: DMF Module plus CSC
,2325,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW06, FW12)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648",None,30,1,B: DMF Module plus CSC
,2365,RENAULT,MEGANE IV Hatchback (B9A/M/N_) | MEGANE III,1.5 dCi 90 (B9A1),X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,None,30,1,B: DMF Module plus CSC
,2405,RENAULT,MEGANE IV Grandtour (K9A/M/N_),1.5 dCi 90,X,Y,Estate | Estate | Grandtour | Sport Tourer | Sporter,Front-Wheel Drive,1.5,"1,461",DIESEL,66,90,4,2,Diesel,K9K 656,None,30,1,B: DMF Module plus CSC
,2445,RENAULT,CLIO IV (BH_) | CLIO MIO | LUTECIA,1.5 dCi 110,X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,1) Transmission Type : 6-Speed Manual Transmission,30,1,B: DMF Module plus CSC
,2485,DACIA,DUSTER (HS_),"1.5 dCi (HSMD, HSM3)",X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 856, K9K 858, K9K 898",None,30,1,B: DMF Module plus CSC
,2525,DACIA,DUSTER (HM_),1.5 dCi 110 (HMAB),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 656, K9K 667",None,30,1,B: DMF Module plus CSC
,2565,NISSAN,QASHQAI II VAN (J11_),1.5 dCi,X,Y,SUV Van | VAN,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,"1) Construction Year to : 201807, 2) Transmission Type : 6-Speed Manual Transmission",30,1,B: DMF Module plus CSC
,2605,RENAULT,SCÉNIC III (JZ0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837","1) TecDoc Engine Number : 28220, 2) TecDoc Engine Number : 32894, 3) TecDoc Engine Number : 23743, 4) Transmission Type : 6-Speed Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2645,RENAULT,"CLIO III Hatchback Van (SB_, SR_)",1.5 dCi,X,Y,Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 772","1) TecDoc Engine Number : 18538, 2) Transmission Type : 6-Speed Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2685,NISSAN,NV200 / EVALIA Bus,"1.5 dCi 110 (M20, M20M)",X,Y,Bus,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646","1) TecDoc Engine Number : 29420, 2) TecDoc Engine Number : 31623, 3) Transmission Type : Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2725,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW0C, KW0H)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,110,4,2,Diesel,"K9K 804, K9K 816","1) TecDoc Engine Number : 20831, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2765,RENAULT,MEGANE II Estate (KM0/1_),"1.5 dCi (KM16, KM1E)",X,Y,Estate | Grandtour | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,"1) TecDoc Engine Number : 20829, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.001, 4) Transmission Code : TL4.014, 5) Transmission Code : TL4.119",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2805,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 282, K9K 292","1) TecDoc Engine Number : 33836, 2) TecDoc Engine Number : 24675, 3) Transmission Type : Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2845,RENAULT,MEGANE II Saloon (LM0/1_),1.5 dCi (LM16),X,Y,Saloon,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,"1) TecDoc Engine Number : 22192, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.001, 4) Transmission Code : TL4.014, 5) Transmission Code : TL4.016",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2885,RENAULT,LAGUNA III (BT0/1),"1.5 dCi (BT00, BT0A, BT0T, BT1J)",X,Y,Hatchback,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 780, K9K 782, K9K 846","1) TecDoc Engine Number : 20817, 2) TecDoc Engine Number : 27990, 3) Transmission Type : 6-Speed Manual Transmission, 4) Transmission Code : TL4.013",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2925,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),1.5 dCi 105 (KW0F),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 806,"1) TecDoc Engine Number : 20832, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,2965,RENAULT,GRAND SCÉNIC II (JM0/1_),1.5 dCi (JM1E),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 732,"1) TecDoc Engine Number : 20829, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3005,NISSAN,"QASHQAI I (J10, NJ10) | DUALIS",1.5 dCi,X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,"K9K 282, K9K 292","1) TecDoc Engine Number : 33836, 2) TecDoc Engine Number : 24675, 3) Transmission Type : Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3045,RENAULT,GRAND SCÉNIC III (JZ0/1_),"1.5 dCi (JZ0B, JZ07)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3085,DACIA,DUSTER (HS_),1.5 dCi (HSMC),X,Y,SUV,Front-Wheel Drive,1.5,"1,461",DIESEL,79,107,4,2,Diesel,"K9K 896, K9K 898","1) Transmission Code : TL4, 2) Transmission Type : 6-Speed Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3125,RENAULT,MEGANE III Coupe (DZ0/1_),1.5 dCi (DZ0B),X,Y,Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.022",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3165,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi (KW0C, KW2C, KW4C)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 804,"1) TecDoc Engine Number : 20831, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3205,MERCEDES-BENZ,CITAN MPV (W415),"111 CDI (415.703, 415.705)",X,Y,MPV | Kombi | Tila-Auto | Tourer | Traveliner,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,OM 607.951 (K9K),"1) TecDoc Engine Number : 26816, 2) Transmission Type : Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3245,RENAULT,GRAND SCÉNIC II (JM0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,76,103,4,2,Diesel,K9K 734,"1) TecDoc Engine Number : 22192, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000, 4) Transmission Code : TL4.001, 5) Transmission Code : TL4.056, 6) Transmission Code : TL4.140",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3285,RENAULT,KANGOO Express (FW0/1_),"1.5 dCi 110 (FW06, FW12)",X,Y,Box Body/MPV | Express | Rapid,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 646, K9K 647, K9K 648","1) TecDoc Engine Number : 28220, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3325,DACIA,LODGY (JS_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 846","1) TecDoc Engine Number : 33761, 2) TecDoc Engine Number : 31425, 3) Transmission Type : 6-Speed Manual Transmission, 4) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3365,DACIA,DUSTER SUV Van (HS_),1.5 dCi,X,Y,SUV Van,Front-Wheel Drive,1.5,"1,461",DIESEL,80,109,4,2,Diesel,"K9K 666, K9K 856","1) TecDoc Engine Number : 33761, 2) TecDoc Engine Number : 28611, 3) Transmission Type : 6-Speed Manual Transmission, 4) Transmission Code : TL4.000",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3405,RENAULT,CLIO IV Grandtour (KH_),1.5 dCi 110,X,Y,Estate | Grandtour | SPORT TOURER | Sport Tourer,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,K9K 646,"1) TecDoc Engine Number : 32413, 2) Transmission Type : 6-Speed Manual Transmission, 3) Transmission Code : TL4.002",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3445,RENAULT,MEGANE IV Saloon (LVA/M/N),1.5 dCi 110,X,Y,Saloon | Grand Coupe,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 656, K9K 657, K9K 674, K9K 675, K9K 676, K9K 677",1) Transmission Type : 6-Speed Manual Transmission,30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,3485,RENAULT,MEGANE CC (EZ0/1_),"1.5 dCi (EZ0B, EZ07)",X,Y,Convertible,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,K9K 832,"1) TecDoc Engine Number : 23521, 2) Transmission Type : 6-Speed Manual Transmission",30,1,C: FULLPACK DMF (CSC) with Self Adjusting Technology
,25,RENAULT,SCÉNIC IV (J9_),1.5 dCi 110,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 646, K9K 647",1) TecDoc Engine Number : 32413,25,1,A: LuK DMF
,65,RENAULT,GRAND SCÉNIC IV (R9_),1.5 dCi 95 Hybrid Assist (R9A3),X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,70,95,4,2,Mild Hybrid,K9K 646,None,25,1,A: LuK DMF
,105,RENAULT,SCÉNIC III (JZ0/1_),1.5 dCi,X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,81,110,4,2,Diesel,"K9K 636, K9K 656, K9K 657, K9K 836, K9K 837",1) Transmission Code : TL4,25,1,A: LuK RepSet DMF
,145,RENAULT,"CLIO III Hatchback Van (SB_, SR_)",1.5 dCi,X,Y,Hatchback Van,Front-Wheel Drive,1.5,"1,461",DIESEL,78,106,4,2,Diesel,"K9K 764, K9K 772",None,25,1,A: LuK RepSet DMF
,185,RENAULT,KANGOO / GRAND KANGOO II (KW0/1_),"1.5 dCi 110 (KW0C, KW0H)",X,Y,MPV,Front-Wheel Drive,1.5,"1,461",DIESEL,80,110,4,2,Diesel,"K9K 804, K9K 816",None,25,1,A: LuK RepSet DMF
